Order Date,Customer Name,State,Category,Sub Category,Product Name,Sales,Quantity,Profit
3/1/2014,Darren Powers,Texas,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,5.55
4/1/2014,Phillina Ober,Illinois,Office Supplies,Labels,Avery 508,11.78,3,4.27
4/1/2014,Phillina Ober,Illinois,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,-64.77
4/1/2014,Phillina Ober,Illinois,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,-5.49
5/1/2014,Mick Brown,Pennsylvania,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,4.88
6/1/2014,Lycoris Saunders,California,Office Supplies,Paper,Xerox 225,19.44,3,9.33
6/1/2014,Jack O'Briant,Georgia,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,5.24
6/1/2014,Maria Etezadi,Kentucky,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,746.41
6/1/2014,Maria Etezadi,Kentucky,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,274.49
6/1/2014,Maria Etezadi,Kentucky,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,1.48
6/1/2014,Maria Etezadi,Kentucky,Technology,Phones,GE 30524EE4,391.98,2,113.67
6/1/2014,Maria Etezadi,Kentucky,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,204.11
6/1/2014,Maria Etezadi,Kentucky,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.31
6/1/2014,Maria Etezadi,Kentucky,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,3.01
7/1/2014,Vivek Sundaresam,Texas,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,-53.71
7/1/2014,Vivek Sundaresam,Texas,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,-18.25
9/1/2014,Melanie Seite,Texas,Office Supplies,Art,Newell 312,9.34,2,1.17
9/1/2014,Melanie Seite,Texas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,9.75
